Figure No.,Figure Title,Type,User Role,Chapter,Status,Pages,Has Mermaid Code,Notes
Figure 1,Conceptual Model of AGAPP,IPO Diagram,All,Chapter I,Done,1,Yes,Input/Process/Output/Evaluation subgraphs
Figure 2,Project Design of AGAPP,Architecture Diagram,All,Chapter III,Done,1,Yes,Users > Backend > Data Storage
Figure 3,Flowchart of Main Interface for Super Administrator,Flowchart,Super Administrator,Chapter III,Done,1,Yes,Login + 4 primary modules + extended functions
Figure 4,Flowchart of Main Interface for LGU Administrator,Flowchart,LGU Administrator,Chapter III,Done,1,Yes,Login + 5 primary modules + extended functions
Figure 5,Flowchart of Dashboard for Super Admin and LGU Admin,Flowchart,Super Admin / LGU Admin,Chapter III,Done,1,Yes,Metrics > Graphs/Heatmap > Filter > Report > Export
Figure 6,Flowchart of Service Requests for LGU Administrator,Flowchart,LGU Administrator,Chapter III,Done,1,Yes,Queue > Filter > Actions > Audit Log
Figure 7,Flowchart of Issue Reports for LGU Administrator,Flowchart,LGU Administrator,Chapter III,Done,1,Yes,Map View + Queue > Auto-Route > Verify/Reroute/Reject > Status Loop
Figure 8,Flowchart of News and Announcements for LGU Administrator,Flowchart,LGU Administrator,Chapter III,Done,1,Yes,Draft Editor > Attach > Schedule > Publish > Notify
Figure 9,Flowchart of Forum Moderation for LGU Administrator,Flowchart,LGU Administrator,Chapter III,Done,1,Yes,Citizen Post > Auto Filter > Publish or Moderation Queue > Admin Decision
Figure 10,Flowchart of Office Assignments for LGU Administrator,Flowchart,LGU Administrator,Chapter III,Done,1,Yes,View Ruleset > Add/Edit/Archive > Map Category > Assign Office > SLA
Figure 11,Flowchart of User Management for Super Admin and LGU Admin,Flowchart,Super Admin / LGU Admin,Chapter III,Done,1,Yes,View Users > Filter > Add/Edit/Archive/Report/Logs/Backup
Figure 12,Flowchart of Main Interface for Citizen,Flowchart,Citizen,Chapter III,Done,1,Yes,Sign Up/Login > Profile > 8 modules + extended functions
Figure 13,Flowchart of Service Directory for Citizen,Flowchart,Citizen,Chapter III,Done,1,Yes,Browse > Select > Form > Draft or Submit > QR Code > Municipal Hall
Figure 14,Flowchart of Submit Report for Citizen,Flowchart,Citizen,Chapter III,Done,1,Yes,Category > Photo > GPS > YOLOv8n (pothole) > Description > Submit
Figure 15,Flowchart of Track Report for Citizen,Flowchart,Citizen,Chapter III,Done,1,Yes,View List > Select > Status (5 states) > Rate Resolution
Figure 16,Flowchart of Town Map for Citizen,Flowchart,Citizen,Chapter III,Done,1,Yes,OpenStreetMap > Search/Tap/Directions > Details/Route
Figure 17,Flowchart of Emergency Hotlines for Citizen,Flowchart,Citizen,Chapter III,Done,1,Yes,Select Hotline > Call > Optional SOS GPS Share
Figure 18,Flowchart of Community Forum for Citizen,Flowchart,Citizen,Chapter III,Done,1,Yes,Browse/Search/Compose > Auto Filter > Publish or Moderation Queue
Figure 19,Flowchart of Chatbot for Citizen,Flowchart,Citizen,Chapter III,Done,1,Yes,RAG pipeline via pgvector > Answer + Source or Fallback + Ticket
Figure 20,Flowchart of Account Settings for Citizen,Flowchart,Citizen,Chapter III,Done,1,Yes,Review Prefs > Edit (Password/Notifs/Language/Theme) > External Links
Figure 21,Wireframe for Citizen Sign-Up,Wireframe,Citizen,Chapter III,Pending,1,No,Email + Password + OTP alternative; profile form after verification
Figure 22,Wireframe for Citizen Main Interface,Wireframe,Citizen,Chapter III,Pending,1,No,LGU seal header + feature tile grid + bottom nav bar
Figure 23,Wireframe for Submit Report Flow,Wireframe,Citizen,Chapter III,Pending,1,No,Category dropdown + Photo/GPS section + Description + Submit button
Figure 24,Wireframe of LGU Admin Dashboard,Wireframe,LGU Administrator,Chapter III,Pending,1,No,Metrics cards + charts + heatmap + left nav menu
Figure 25,Wireframe of Issue Reports Page,Wireframe,LGU Administrator,Chapter III,Pending,1,No,Queue table + map preview + side panel with actions
Figure 26,Wireframe of Service Requests Page,Wireframe,LGU Administrator,Chapter III,Pending,1,No,Requests table + filters + Generate report button
Figure 27,Wireframe of News and Announcements Page,Wireframe,LGU Administrator,Chapter III,Pending,1,No,Post list + Compose button + editor with schedule toggle
Figure 28,Wireframe of Forum Moderation Page,Wireframe,LGU Administrator,Chapter III,Pending,1,No,Queued posts list + Approve/Edit/Reject buttons + search bar
Figure 29,Wireframe of Office Assignments Page,Wireframe,LGU Administrator,Chapter III,Pending,1,No,Rules table + Add Rule panel (Category + Barangay + Office + SLA)
Figure 30,Wireframe of User Management Page,Wireframe,LGU Administrator,Chapter III,Pending,1,No,User table + search/filter + role/status columns + logs/backup
Figure 31,Wireframe of Super Admin Cross-LGU Analytics Page,Wireframe,Super Administrator,Chapter III,Pending,1,No,Aggregated metrics + leaderboards + stacked bar chart + filters
Figure 32,Use Case Diagram for Super Administrator,Use Case Diagram,Super Administrator,Chapter III,Done,1,Yes,7 use cases: provision/deactivate tenants + flags + analytics + compliance + fees + users
Figure 33,Use Case Diagram for LGU Administrator,Use Case Diagram,LGU Administrator,Chapter III,Done,1,Yes,8 use cases: service requests + reports + office assignments + news + forum + KB + users + RA11032
Figure 34,Use Case Diagram for LGU Personnel,Use Case Diagram,LGU Personnel,Chapter III,Done,1,Yes,5 use cases: view assigned + update status + attach docs + post updates + internal notes
Figure 35,Use Case Diagram for Citizen,Use Case Diagram,Citizen,Chapter III,Done,1,Yes,9 use cases: sign up + apply + report + track + news + map + hotlines + forum + chatbot
Figure 36,Agile Scrum Model of AGAPP,Process Diagram,All,Chapter III,Done,1,Yes,Sprint 0-7: Initiation > Auth > Service Dir > Reporting+ML > News/Forum/Chatbot > Dashboards > Hardening > UAT
